block_number,timestamp,tx_hash,log_index,factory_contract_address,pool_contract_address,fee,token0_address,token1_address,ethereum_address
305567545,2021-05-04T19:52:36,0x37d8f4b1b371fde9e4b1942588d16a1cbf424b7c66e731ec915aca785ca2efcf,24,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,3000,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf511ce4b49154a8abb5fa4c9e9b06b4f
305567584,2021-05-04T19:58:13,0xa877e18bbdcf69b751f56b4aa5b91a903ae69de2d775f1eb27fba4ba25abff2a,80,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x6c6Bc977E13Df9b0de53b251522280BB72383700,500,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x57295329dd9f432aa4a1533ee65c1efa
305567761,2021-05-04T20:07:45,0x004cb88319b0678320cb0a04fab8003897f33c345576adfbb1f79b903a0509f0,147,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x7BeA39867e4169DBe237d55C8242a8f2fcDcc387,10000,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x65f1312a0fa04cd4a05c0905db64a16a
305567777,2021-05-04T20:09:34,0xf87d91f3d72a8e912c020c2e316151f3557b1217b44d4f6b6bec126448318530,36,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xCBCdF9626bC03E24f779434178A73a0B4bad62eD,3000,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc6737074d2674caa90cc5a2d3210aec2
305567828,2021-05-04T20:16:08,0x8c2161cdf81dacef87759fa8f1f8f94dc9de293b757939fcf0fdc866e80ed052,62,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xC2e9F25Be6257c210d7Adf0D4Cd6E3E881ba25f8,3000,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x30a3c5cc721e4d7792753a4e3e47f1e5
305567843,2021-05-04T20:17:58,0x67c510c3d7b2a01c7a164c3129ceb5f6ae2af01ceace9c92ae410a1d4d4921a8,7,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x7858E59e0C01EA06Df3aF3D20aC7B0003275D4Bf,500,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xb5f7c3530e9046a28d5777515ece43e5
305567865,2021-05-04T20:21:15,0x9878bb2d3511c1e73beb2ce8a3c46f14f0ef0f8b3289f165789bd323b5f49957,39,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x886072A44BDd944495eFF38AcE8cE75C1EacDAF6,500,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1797b7d7b8874f9e82ac49c6d0b20f62
305568001,2021-05-04T20:24:36,0xee9a8269d74cb0454264e30a019fd8ab79ea7602259ae7de60968858ff86d645,89,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xF83d5AaaB14507A53f97D3C18BDB52C4A62Efc40,3000,0x23B608675a2B2fB1890d3ABBd85c5775c51691d5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xbf09da2a2bb54e34bdfe58b884ba1882
305568034,2021-05-04T20:28:40,0x50b3d60ea527bde2c4684d09696c12daa3b9f2e03004978f960782cef5f423f7,110,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xD1D5A4c0eA98971894772Dcd6D2f1dc71083C44E,3000,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfb470c2ebc0d4a61ac2706ea8d634354
305594488,2021-05-04T21:00:16,0xc3408afc7a181483ed1e692f30c6660e1691dba3505f8bff70ca6f9830c720c3,191,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x6f48ECa74B38d2936B02ab603FF4e36A6C0E3A77,500,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x8e7e794e3dab4a799b92408ba1253736
